id,label,gene_type,accession,title,file
OsKS6,Gene,PathwayGene,NA,,
OsKSL7 (OsDTC1),Gene,PathwayGene,NA,,
phytocassanes,Metabolite,,,,
OsKSL8 (OsDTC2),Gene,PathwayGene,NA,,
oryzalexin S / related syn-labdane diterpenoids,Metabolite,,,,
OsKSL10,Gene,PathwayGene,DQ823355; AK072461; AB126937,,
oryzalexins,Metabolite,,,,
OsKSL11,Gene,PathwayGene,DQ100373,,
syn-labdane-related defensive diterpenoids,Metabolite,,,,
10.1016/j.phymed.2025.157581,Paper,,,"Schisandrin C alleviates depressive-like behaviors by modulating the AKT/CREB/BDNF pathway, the serotonin pathway of tryptophan metabolism, and the gut microbiota composition",10.1016@j.phymed.2025.157581_nutri_plant_verified.json
MAOA,Gene,PathwayGene,NA,,
Serotonin,Metabolite,,,,
Monoamine neurotransmitter; tryptophan-derived metabolite,MetaboliteClass,,,,
MAOB,Gene,PathwayGene,NA,,
CREB,Gene,RegulationGene,NA,,
Mus musculus,Species,,,,
Neurotrophic response downstream of serotonergic signaling affecting depression-related physiology,Process,,,,
10.1016/j.foodchem.2020.126170,Paper,,,Transcriptomics integrated with metabolomics reveals the effect of regulated deficit irrigation on anthocyanin biosynthesis in Cabernet Sauvignon grape berries,10.1016@j.foodchem.2020.126170_nutri_plant_verified.json
VvPAL,Gene,PathwayGene,NA,,
Anthocyanins,Metabolite,,,,
Flavonoid,MetaboliteClass,,,,
VvC4H,Gene,PathwayGene,NA,,
Vv4CL,Gene,PathwayGene,NA,,
VvCHS,Gene,PathwayGene,NA,,
VvF3H,Gene,PathwayGene,NA,,
VvF3'H,Gene,PathwayGene,NA,,
VvF3'5'H,Gene,PathwayGene,NA,,
Malvidin-3-O-glucoside; petunidin-3-O-glucoside; delphinidin-3-O-glucoside; total anthocyanins,Metabolite,,,,
VvDFR,Gene,PathwayGene,NA,,
VvLDOX,Gene,PathwayGene,NA,,
VvUFGT,Gene,PathwayGene,NA,,
Anthocyanin 3-O-glucosides; total anthocyanins,Metabolite,,,,
GA3ox1,Gene,PathwayGene,NA,,
GA20ox1,Gene,PathwayGene,chr5.CM0200.220.r2.m,,
AtGID1a,Gene,RegulationGene,NA,,
Gibberellin signaling controlling hypocotyl elongation,Process,,,,
SLY1,Gene,RegulationGene,NA,,
Gibberellin signaling,Process,,,,
RGA,Gene,RegulationGene,At2g01570,,
GAI,Gene,RegulationGene,NA,,
10.1016/j.jplph.2017.07.012,Paper,,,"Water deficit stress fluctuates expression profiles of 4CL, C3H, COMT, CVOMT and EOMT genes involved in the biosynthetic pathway of volatile phenylpropanoids alongside accumulation of methylchavicol and methyleugenol in different Iranian cultivars of basil",10.1016@j.jplph.2017.07.012_nutri_plant_verified.json
4CL,Gene,PathwayGene,Cluster-13504.22965; Cluster-13504.25583,,
Ocimum basilicum,Species,,,,
methylchavicol; methyleugenol,Metabolite,,,,
volatile phenylpropanoid,MetaboliteClass,,,,
C3H,Gene,PathwayGene,BQ514440,,
methyleugenol,Metabolite,,,,
COMT,Gene,PathwayGene,aCL3343Contig1; aC06052D07T; aC08010D03SK,,
CVOMT,Gene,PathwayGene,NA,,
methylchavicol,Metabolite,,,,
EOMT,Gene,PathwayGene,NA,,
10.1016/j.jbiotec.2011.02.004,Paper,,,S-selective hydroxynitrile lyase from a plant Baliospermum montanum: Molecular characterization of recombinant enzyme,10.1016@j.jbiotec.2011.02.004_nutri_plant_verified.json
"hnl (BmHNL, S-BmHNL)",Gene,PathwayGene,AB505969; AB505970; AB505971; AB505972; AB505973; AB505974; AB505975; AB505976; AB505977; AB505978; AB505979,,
Escherichia coli,Species,,,,
Baliospermum montanum,Species,,,,
(S)-cyanohydrins,Metabolite,,,,
cyanohydrin,MetaboliteClass,,,,
10.1016/j.jep.2008.12.006,Paper,,,Suppression of inducible nitric oxide synthase by (−)-isoeleutherin from the bulbs of Eleutherine americana through the regulation of NF-κB activity,10.1016@j.intimp.2008.12.003_nutri_plant_verified.json
NF-κB,Gene,RegulationGene,NA,,
Nitric oxide (NO),Metabolite,,,,
Reactive nitrogen species,MetaboliteClass,,,,
Induction of inflammatory NO production through transcriptional activation of iNOS,Process,,,,
VTC4,Gene,PathwayGene,NA,,
myo-inositol; ascorbate,Metabolite,,,,
polyol; vitamin,MetaboliteClass,,,,
IMPL2,Gene,PathwayGene,At4g39120; NP_564376,,
10.1105/tpc.005255,Paper,,,Molecular Dissection of the Gibberellin/Abscisic Acid Signaling Pathways by Transiently Expressed RNA Interference in Barley Aleurone Cells,PMC150771_nutri_plant_verified.json
GAMyb,Gene,RegulationGene,AY008692,,
Hordeum vulgare,Species,,,,
α-amylase,Metabolite,,,,
carbohydrate-degrading enzyme,MetaboliteClass,,,,
GA-induced hydrolase gene expression for starch mobilization,Process,,,,
SLN1,Gene,RegulationGene,Os01g0646300,,
GA signaling repression controlling starch mobilization and general GA responses in aleurone,Process,,,,
HvPKABA1,Gene,RegulationGene,NA,,
ABA antagonism of GA-induced starch mobilization gene expression,Process,,,,
TaPKABA1,Gene,RegulationGene,NA,,
Triticum aestivum,Species,,,,
ABA-like repression of GA-induced starch mobilization gene expression,Process,,,,
NIA1,Gene,PathwayGene,NA,,
Reactive nitrogen species / signaling metabolite,MetaboliteClass,,,,
NIA2,Gene,PathwayGene,J03240,,
10.1016/j.plantsci.2020.110463,Paper,,,Cloning and functional analysis of three aphid alarm pheromone genes from German chamomile (Matricaria chamomilla L.),10.1016@j.plantsci.2020.110463_nutri_plant_verified.json
McGDS1,Gene,PathwayGene,NA,,
Matricaria chamomilla,Species,,,,
(E)-β-farnesene,Metabolite,,,,
Terpenoid,MetaboliteClass,,,,
McGDS2,Gene,PathwayGene,NA,,
Germacrene D,Metabolite,,,,
McGDS3,Gene,PathwayGene,NA,,
β-elemene,Metabolite,,,,
10.1016/j.ijfoodmicro.2018.05.003,Paper,,,Effect of temperature on production of oligosaccharides and dextran by Weissella cibaria 10 M,10.1016@j.ijfoodmicro.2018.05.003_nutri_plant_verified.json
dsrM,Gene,PathwayGene,NA,,
Weissella cibaria,Species,,,,
Dextran; panose-series oligosaccharides,Metabolite,,,,
Polysaccharide; oligosaccharide,MetaboliteClass,,,,
10.1093/pcp/pcr120,Paper,,,Regulated Expression of an Isopentenyltransferase Gene (IPT) in Peanut Significantly Improves Drought Tolerance and Increases Yield Under Field Conditions,10.1093@pcp@pcr125_nutri_plant_verified.json
LfNCED3,Gene,PathwayGene,GQ168942,,
Lilium formosanum; Arabidopsis thaliana,Species,,,,
Lilium formosanum,Species,,,,
Abscisic acid (ABA),Metabolite,,,,
LoNCED3,Gene,PathwayGene,GQ294577,,
Lilium oriental hybrid; Arabidopsis thaliana,Species,,,,
Lilium oriental hybrid,Species,,,,
AtPAO1,Gene,PathwayGene,NA,,
H2O2; putrescine,Metabolite,,,,
reactive oxygen species; polyamine,MetaboliteClass,,,,
AtPAO2,Gene,PathwayGene,NA,,
OsGATA7,Gene,RegulationGene,NA,,
grain protein,Metabolite,,,,
protein,MetaboliteClass,,,,
protein biosynthesis affecting rice eating and cooking quality/taste,Process,,,,
SMOS1,Gene,RegulationGene,NA,,
protein biosynthesis/storage affecting eating and cooking quality,Process,,,,
10.1093/jxb/erv149,Paper,,,Reduced levels of NADH-dependent glutamate dehydrogenase decrease the glutamate content of ripe tomato fruit but have no effect on green fruit or leaves,10.1093@jxb@erv150_nutri_plant_verified.json
SlGDHA1; SlGDHA2; SlGDHB1,Gene,PathwayGene,NA,,
Solanum lycopersicum,Species,,,,
Glutamate,Metabolite,,,,
amino acid,MetaboliteClass,,,,
10.1128/AEM.01300-08,Paper,,,"Comparative Mycotoxin Profiles of Gibberella zeae Populations from Barley, Wheat, Potatoes, and Sugar Beets",PMC2576685_nutri_plant_verified.json
TRI13,Gene,PathwayGene,NA,,
Gibberella zeae,Species,,,,
Deoxynivalenol,Metabolite,,,,
trichothecene mycotoxin,MetaboliteClass,,,,
TRI3,Gene,PathwayGene,NA,,
3-acetyl-deoxynivalenol; 15-acetyl-deoxynivalenol,Metabolite,,,,
TRI12,Gene,PathwayGene,NA,,
3-acetyl-deoxynivalenol; 15-acetyl-deoxynivalenol; deoxynivalenol,Metabolite,,,,
10.1016/j.jplph.2005.12.008,Paper,,,Use of differential display for the identification of touch-induced genes from an ethylene-insensitive Arabidopsis mutant and partial characterization of these genes,10.1016@j.jplph.2005.12.005_nutri_plant_verified.json
OPR3,Gene,PathwayGene,NA,,
Jasmonic acid,Metabolite,,,,
G11,Gene,PathwayGene,At4g36810,,
carotenoids; chlorophylls; tocopherols; phylloquinones; plastoquinone; unidentified extraplastidial isoprenoid(s) required for embryo development,Metabolite,,,,
carotenoid; photosynthetic pigments; vitamin E; quinones; terpenoid,MetaboliteClass,,,,
DXS,Gene,PathwayGene,NA,,
carotenoids,Metabolite,,,,
carotenoid,MetaboliteClass,,,,
PSY,Gene,PathwayGene,At5g17230,,
10.1186/s12864-020-07124-6,Paper,,,Multi-tissue transcriptome analysis using hybrid-sequencing reveals potential genes and biological pathways associated with azadirachtin A biosynthesis in neem,PMC7592523_nutri_plant_verified.json
transcript/14449 (AiOSC1 homolog),Gene,PathwayGene,gi|443299067,,
Azadirachta indica,Species,,,,
Azadirachtin A,Metabolite,,,,
triterpenoid,MetaboliteClass,,,,
transcript/18833,Gene,PathwayGene,gi|572153023,,
transcript/19291,Gene,PathwayGene,gi|572153023,,
transcript/16057,Gene,PathwayGene,gi|567902124,,
transcript/16577,Gene,PathwayGene,gi|568834016,,
transcript/16777,Gene,PathwayGene,gi|590722535,,
transcript/17001,Gene,PathwayGene,gi|590722535,,
transcript/16950,Gene,PathwayGene,gi|645239614,,
transcript/16971 (MaCYP71CD2 homolog),Gene,PathwayGene,gi|568825869,,
transcript/16742 (MaCYP71BQ5 homolog),Gene,PathwayGene,gi|568830413,,
transcript/16198,Gene,PathwayGene,gi|568868580,,
transcript/17792,Gene,PathwayGene,gi|567873443,,
transcript/18214,Gene,PathwayGene,gi|641830965,,
transcript/19188,Gene,PathwayGene,gi|568822600,,
transcript/19882,Gene,PathwayGene,gi|568867507,,
transcript/19697,Gene,PathwayGene,gi|225440163,,
transcript/19748,Gene,PathwayGene,gi|641846434,,
transcript/18100,Gene,PathwayGene,gi|568835134,,
10.1073/pnas.1423555112,Paper,,,De novo production of the plant-derived alkaloid strictosidine in yeast,PMC4371906_nutri_plant_verified.json
tHMGR,Gene,PathwayGene,NA,,
Saccharomyces cerevisiae,Species,,,,
strictosidine,Metabolite,,,,
alkaloid,MetaboliteClass,,,,
IDI1,Gene,PathwayGene,NA,,
AgGPPS2,Gene,PathwayGene,NA,,
Abies grandis,Species,,,,
mFPSN144W,Gene,PathwayGene,NA,,
Gallus gallus,Species,,,,
GES,Gene,PathwayGene,NA,,
Catharanthus roseus,Species,,,,
G8H,Gene,PathwayGene,NA,,
GOR,Gene,PathwayGene,NA,,
ISY,Gene,PathwayGene,NA,,
IO,Gene,PathwayGene,NA,,
CYPADH,Gene,PathwayGene,NA,,
7-DLGT,Gene,PathwayGene,Caros009839,,
7-DLH,Gene,PathwayGene,Caros005234,,
LAMT,Gene,PathwayGene,NA,,
SLS,Gene,PathwayGene,NA,,
TDC,Gene,PathwayGene,NA,,
STR,Gene,PathwayGene,NA,,
SAM2,Gene,PathwayGene,NA,,
ZWF1,Gene,PathwayGene,NA,,
PCB2,Gene,PathwayGene,At5g18660,,
chlorophyll a; chlorophyll b,Metabolite,,,,
chlorophyll,MetaboliteClass,,,,
10.1093/pcp/pcaa032,Paper,,,Evolution of Labdane-Related Diterpene Synthases in Cereals,10.1093@pcp@pcaa106_nutri_plant_verified.json
diterpenoid phytohormone,MetaboliteClass,,,,
phytocassanes; oryzalexins A-F,Metabolite,,,,
diterpenoid phytoalexin,MetaboliteClass,,,,
OsCPS4,Gene,PathwayGene,NA,,
momilactones A and B; oryzalexin S,Metabolite,,,,
OsKSL7,Gene,PathwayGene,NA,,
phytocassanes A-F,Metabolite,,,,
oryzalexins A-F,Metabolite,,,,
OsKSL4,Gene,PathwayGene,NA,,
momilactones A and B,Metabolite,,,,
OsKSL8,Gene,PathwayGene,AB118056,,
oryzalexin S,Metabolite,,,,
OsKSL6,Gene,PathwayGene,NA,,
oryzalides including oryzalide A and oryzadione,Metabolite,,,,
diterpenoid phytoanticipin,MetaboliteClass,,,,
OsKSL2,Gene,PathwayGene,NA,,
TaCPS1,Gene,PathwayGene,NA,,
labdane-related phytoalexins,Metabolite,,,,
TaCPS2,Gene,PathwayGene,NA,,
TaCPS3,Gene,PathwayGene,NA,,
TaCPS4,Gene,PathwayGene,AB525387,,
TaKS6,Gene,PathwayGene,NA,,
TaKSL1,Gene,PathwayGene,NA,,
TaKSL2,Gene,PathwayGene,AB597958,,
TaKSL3,Gene,PathwayGene,AB597959,,
An1,Gene,RegulationGene,NA,,
Zea mays,Species,,,,
An2,Gene,RegulationGene,NA,,
kauralexins; dolabralexins,Metabolite,,,,
ZmKSL2,Gene,PathwayGene,NA,,
kauralexins,Metabolite,,,,
ZmKSL4,Gene,PathwayGene,NA,,
dolabralexins,Metabolite,,,,
ZmCPS3,Gene,PathwayGene,NA,,
other labdane-related diterpenoids,Metabolite,,,,
diterpenoid,MetaboliteClass,,,,
ZmCPS4,Gene,PathwayGene,NA,,
ent-kaurene-derived growth regulators including kaurenoic acid derivatives,Metabolite,,,,
HpDTC1,Gene,PathwayGene,NA,,
Calohypnum plumiforme,Species,,,,
momilactones,Metabolite,,,,
10.1016/j.xplc.2021.100233,Paper,,,An extremely promiscuous terpenoid synthase from the Lamiaceae plant Colquhounia coccinea var. mollis catalyzes the formation of sester-/di-/sesqui-/mono-terpenoids,MinerU_markdown_PMC8554039_2038794411789291527_nutri_plant_verified.json
CcTPS1,Gene,PathwayGene,MZ686957,,
Colquhounia coccinea var. mollis; Escherichia coli; Nicotiana benthamiana,Species,,,,
Colquhounia coccinea var. mollis,Species,,,,
sesterterpenoids; diterpenoids; sesquiterpenoids; monoterpenoid,Metabolite,,,,
10.1104/pp.112.195859,Paper,,,Light Intensity-Dependent Modulation of Chlorophyll b Biosynthesis and Photosynthesis by Overexpression of Chlorophyllide a Oxygenase in Tobacco,PMC3375976_nutri_plant_verified.json
CAO,Gene,PathwayGene,AK062219,,
Nicotiana tabacum,Species,,,,
chlorophyll b,Metabolite,,,,
tetrapyrrole pigment,MetaboliteClass,,,,
10.1111/ppl.12310,Paper,,,The suppression of AtPrx52 affects fibers but not xylem lignification in Arabidopsis by altering the proportion of syringyl units,10.1111@ppl.12310_nutri_plant_verified.json
10.1016/j.indcrop.2017.05.038,Paper,,,Impact of drought stress on specialised metabolism: Biosynthesis and the expression of monoterpene synthases in sage (Salvia officinalis),10.1016@j.phytochem.2017.05.005_nutri_plant_verified.json
(+)-bornyl diphosphate synthase,Gene,PathwayGene,AF051901.1,,
Salvia officinalis,Species,,,,
camphor,Metabolite,,,,
monoterpene,MetaboliteClass,,,,
(+)-sabinene synthase,Gene,PathwayGene,AF051901.1,,
α/β-thujone,Metabolite,,,,
"1,8-cineole synthase",Gene,PathwayGene,NA,,
LPCAT1,Gene,PathwayGene,At1g12640,,
Phosphatidylcholine (PC) / lysophosphatidylcholine homeostasis affecting MGDG and DGDG composition,Metabolite,,,,
glycerophospholipid,MetaboliteClass,,,,
LPCAT2,Gene,PathwayGene,At1g63050,,
PAH1,Gene,PathwayGene,At3g09560,,
Phosphatidylcholine homeostasis impacting MGDG and DGDG composition,Metabolite,,,,
PAH2,Gene,PathwayGene,At5g42870,,
10.1111/tpj.13915,Paper,,,GreenCut protein CPLD49 of Chlamydomonas reinhardtii associates with thylakoid membranes and is required for cytochrome b6f complex accumulation,10.1111@tpj.13915_nutri_plant_verified.json
10.1111/ppl.12789,Paper,,,"Abscisic acid (ABA) is involved in phenolic compounds biosynthesis, mainly anthocyanins, in leaves of Aristotelia chilensis plants (Mol.) subjected to drought stress",10.1111@ppl.12789_nutri_plant_verified.json
AcUFGT,Gene,PathwayGene,NA,,
Aristotelia chilensis,Species,,,,
Total anthocyanins,Metabolite,,,,
ABA,Gene,RegulationGene,NA,,
Anthocyanin biosynthesis under drought stress,Process,,,,
HvGS1-1,Gene,PathwayGene,"GenBank: JX878489; cDNA probe KF815944; EMBL accession numbers KF815944, KF815945",,
Hordeum vulgare L.,Species,,,,
Grain protein,Metabolite,,,,
Protein / nitrogenous storage compounds,MetaboliteClass,,,,
10.1016/j.plaphy.2020.01.038,Paper,,,Morpho-physiological and transcriptome analysis provide insights into the effects of zinc application on nitrogen accumulation and metabolism in wheat (Triticum aestivum L.),10.1016@j.plaphy.2020.01.038_nutri_plant_verified.json
TaGS1,Gene,PathwayGene,NA,,
Amino acids; total nitrogen assimilation products,Metabolite,,,,
TaGS2,Gene,PathwayGene,NA,,
TraesCS1D01G103500,Gene,PathwayGene,TraesCS1D01G103500,,
Phenylpropanoids / amino acid metabolism-related products,Metabolite,,,,
phenylpropanoid; amino acid-related metabolite,MetaboliteClass,,,,
TraesCS2D01G204700,Gene,PathwayGene,TraesCS2D01G204700,,
TraesCS1B01G048200,Gene,PathwayGene,TraesCS1B01G048200,,
TraesCS2B01G069900,Gene,PathwayGene,TraesCS2B01G069900,,
Methionine / amino acid pool,Metabolite,,,,
TraesCS2B01G070300,Gene,PathwayGene,TraesCS2B01G070300,,
TraesCS3A01G249300,Gene,PathwayGene,TraesCS3A01G249300,,
Nucleotide metabolism products,Metabolite,,,,
nucleotide,MetaboliteClass,,,,
10.7554/eLife.88207,Paper,,,Cell-type-specific control of secondary cell wall formation by Musashi-type translational regulators in Arabidopsis,MinerU_markdown_PMC10541177_2038801689426821127_nutri_plant_verified.json
GXM3,Gene,PathwayGene,At1g33800,,
4-O-methylated glucuronoxylan,Metabolite,,,,
Hemicellulosic polysaccharide,MetaboliteClass,,,,
GXM1,Gene,PathwayGene,FtPinG0002882400.01,,
UMP synthase,Gene,PathwayGene,NA,,
Nicotiana plumbaginifolia,Species,,,,
UMP,Metabolite,,,,
nucleotide; pyrimidine,MetaboliteClass,,,,
Aspartate transcarbamoylase,Gene,PathwayGene,NA,,
10.1104/pp.107.109371,Paper,,,"Functional Characterization of PaLAX1, a Putative Auxin Permease, in Heterologous Plant Systems",PMC2259084_nutri_plant_verified.json
10.1016/j.plantsci.2014.10.004,Paper,,,mRNA Transcript abundance during plant growth and the influence of Li+ exposure,10.1016@j.plantsci.2014.10.004_nutri_plant_verified.json
MIPS1,Gene,PathwayGene,At4g39800; NM_120143,,
myo-inositol-related phosphates,Metabolite,,,,
carbohydrate derivative / signaling metabolite,MetaboliteClass,,,,
MIPS2,Gene,PathwayGene,At2g22240; NM_127790,,
ACS4,Gene,PathwayGene,NA,,
ethylene,Metabolite,,,,
gaseous phytohormone,MetaboliteClass,,,,
ACS7,Gene,PathwayGene,At4g26200,,
UGT73D1,Gene,PathwayGene,At3g53150,,
secondary metabolite glycosides,Metabolite,,,,
secondary metabolites,MetaboliteClass,,,,
UGT74F2,Gene,PathwayGene,NA,,
GSTU8,Gene,PathwayGene,At3g09270,,
AtFBA5,Gene,PathwayGene,At4g26530,,
PR1,Gene,RegulationGene,At2g14610,,
defense-associated signaling rather than a direct nutrient pathway,Process,,,,
PR5,Gene,RegulationGene,NA,,
defense-associated signaling,Process,,,,
AIG1,Gene,RegulationGene,At1g33960,,
salicylic acid-mediated defense signaling,Process,,,,
ERF104,Gene,RegulationGene,NA,,
stress and defense response transcription,Process,,,,
WRKY40,Gene,RegulationGene,DT468825; DT462103,,
defense response transcription,Process,,,,
LeIMP1,Gene,PathwayGene,U39444,,
Lycopersicon esculentum,Species,,,,
myo-inositol,Metabolite,,,,
cyclitol,MetaboliteClass,,,,
LeIMP2,Gene,PathwayGene,U39443,,
LeIMP3,Gene,PathwayGene,U39059,,
EpSS-L1 (EpPS),Gene,PathwayGene,M5689_021805; WCJ40906.1,,
Euphorbia peplus; Nicotiana benthamiana; Saccharomyces cerevisiae; Escherichia coli,Species,,,,
Euphorbia peplus,Species,,,,
Peplusol,Metabolite,,,,
EpSS-L2 (EpSS),Gene,PathwayGene,M5689_021806; WCJ40907.1,,
Squalene,Metabolite,,,,
ElSS-L1 (ElPS),Gene,PathwayGene,PP978604,,
Euphorbia lateriflora; Nicotiana benthamiana,Species,,,,
Euphorbia lateriflora,Species,,,,
ElSS-L2,Gene,PathwayGene,PP978605,,
AtSS,Gene,PathwayGene,AT4G34640; BT003419.1,,
Nicotiana benthamiana; Saccharomyces cerevisiae; Escherichia coli,Species,,,,
EgCCR,Gene,PathwayGene,AJ132750,,
Eucalyptus gunnii,Species,,,,
Lignin,Metabolite,,,,
Phenylpropanoid polymer,MetaboliteClass,,,,
BAS1,Gene,PathwayGene,NA,,
Brassinolide,Metabolite,,,,
Brassinosteroid steroid hormone,MetaboliteClass,,,,
CslF6,Gene,PathwayGene,Os08g06380,,
"mixed-linkage glucan (MLG; (1,3;1,4)-β-D-glucan)",Metabolite,,,,
polysaccharide,MetaboliteClass,,,,
MdD27,Gene,PathwayGene,NA,,
Malus domestica,Species,,,,
Strigolactone,Metabolite,,,,
MdCCD7,Gene,PathwayGene,XM_029105605,,
MdCCD8a,Gene,PathwayGene,XP_008378214.1; MDP0000227870,,
MdCCD8b,Gene,PathwayGene,XP_008352014.1; MDP0000219296,,
MdMAXa,Gene,PathwayGene,NA,,
10.1111/nph.17709,Paper,,,Inhibition of gibberellin accumulation by water deficiency promotes fast and long-term ‘drought avoidance’ responses in tomato,10.1111@nph.17709_nutri_plant_verified.json
GA2ox7,Gene,PathwayGene,Solyc02g080120,,
"bioactive gibberellins (GA1, GA3)",Metabolite,,,,
phytohormone; diterpenoid,MetaboliteClass,,,,
bioactive gibberellins (mainly GA1),Metabolite,,,,
GA20ox2,Gene,PathwayGene,chr3.CM1570.150.r2.m,,
TINY1,Gene,RegulationGene,Solyc06g066540,,
bioactive gibberellins (via GA2ox7-mediated deactivation),Metabolite,,,,
gibberellin deactivation under drought,Process,,,,
10.1074/jbc.C116.719989,Paper,,,GUN4-Protoporphyrin IX Is a Singlet Oxygen Generator with Consequences for Plastid Retrograde Signaling,PMC4861466_nutri_plant_verified.json
GUN4,Gene,PathwayGene,XM004140838.3,,
Chlamydomonas reinhardtii,Species,,,,
Chlorophyll,Metabolite,,,,
Tetrapyrrole,MetaboliteClass,,,,
Chlorophyll biosynthetic flux sensing and retrograde signaling,Process,,,,
ChlH (GUN5),Gene,RegulationGene,NA,,
Entry of tetrapyrrole flux into chlorophyll branch and associated retrograde signaling,Process,,,,
GmMIPS1,Gene,PathwayGene,NA,,
Glycine max,Species,,,,
Phytic acid,Metabolite,,,,
Phosphorus storage compound; inositol phosphate,MetaboliteClass,,,,
10.1021/acs.jafc.9b07443,Paper,,,"Identification of a Spermidine Synthase Gene from Soybean by Recombinant Expression, Transcriptional Verification, and Sequence Analysis",10.1021@acs.jafc.9b07443_nutri_plant_verified.json
speE5,Gene,PathwayGene,XM_003551965.4,,
Glycine max; Bacillus amyloliquefaciens,Species,,,,
Spermidine,Metabolite,,,,
Polyamine,MetaboliteClass,,,,
10.1104/pp.16.00361,Paper,,,WRINKLED1 Rescues Feedback Inhibition of Fatty Acid Synthesis in Hydroxylase-Expressing Seeds,PMC4854691_nutri_plant_verified.json
RcFAH12,Gene,PathwayGene,NA,,
Ricinus communis,Species,,,,
Hydroxy fatty acids (mainly ricinoleic acid),Metabolite,,,,
Fatty acid,MetaboliteClass,,,,
ROD1,Gene,PathwayGene,NA,,
Hydroxy fatty acids in triacylglycerol,Metabolite,,,,
WRI1,Gene,RegulationGene,NA,,
Hydroxy fatty acids and total seed oil,Metabolite,,,,
Fatty acid synthesis and associated glycolytic precursor supply; indirectly improves HFA accumulation and seed oil deposition,Process,,,,
10.1093/aob/mcaa119,Paper,,,Regulation of sugar metabolism genes in the nitrogen-dependent susceptibility of tomato stems to Botrytis cinerea,PMC7750717_nutri_plant_verified.json
Sl-SUS1,Gene,PathwayGene,NA,,
Fructose,Metabolite,,,,
carbohydrate,MetaboliteClass,,,,
Sl-SUS3,Gene,PathwayGene,NA,,
Sl-LIN5,Gene,PathwayGene,NA,,
Sl-LIN6,Gene,PathwayGene,NA,,
Sl-LIN7,Gene,PathwayGene,NA,,
Sl-LIN8,Gene,PathwayGene,NA,,
Sl-LIN9,Gene,PathwayGene,NA,,
Sl-VI,Gene,PathwayGene,NA,,
Sl-FRK1,Gene,PathwayGene,NA,,
Sl-FRK2,Gene,PathwayGene,NA,,
Sl-FRK3,Gene,PathwayGene,NA,,
Sl-HXK1,Gene,PathwayGene,NA,,
Glucose,Metabolite,,,,
Sl-HXK2,Gene,PathwayGene,NA,,
Sl-HXK5,Gene,PathwayGene,NA,,
Sl-PFK1,Gene,PathwayGene,NA,,
Sl-PFK6,Gene,PathwayGene,NA,,
10.1046/j.1365-313x.2001.01096.x,Paper,,,The ratio of campesterol to sitosterol that modulates growth in Arabidopsis is controlled by STEROL METHYLTRANSFERASE 2;1,10.1046@j.1365-313x.2001.00994.x_nutri_plant_verified.json
